Row No,PC,Opcode,Function,Line No,File,Directory,Cycles,Status
470,0x700A43F4,0xF2C7000A,pvTaskIncrementMutexHeldCount,4676,tasks.c,FreeRTOS-Kernel,469,
471,0x700A43F8,0x00006800,pvTaskIncrementMutexHeldCount,4676,tasks.c,FreeRTOS-Kernel,470,
472,0x700A43FA,0x00004770,pvTaskIncrementMutexHeldCount,4676,tasks.c,FreeRTOS-Kernel,471,
473,0x700A43FC,0x00000000,n/a,,n/a,n/a,472,
474,0x700A43FE,0x00000000,n/a,,n/a,n/a,473,
475,0x700A4400,0x0000B083,vApplicationGetIdleTaskMemory,396,port.c,portable/TI_ARM_CLANG/ARM_CR5F,474,
476,0x700A4402,0x00009002,vApplicationGetIdleTaskMemory,396,port.c,portable/TI_ARM_CLANG/ARM_CR5F,475,
477,0x700A4404,0x00009101,vApplicationGetIdleTaskMemory,396,port.c,portable/TI_ARM_CLANG/ARM_CR5F,476,
478,0x700A4406,0x00009200,vApplicationGetIdleTaskMemory,396,port.c,portable/TI_ARM_CLANG/ARM_CR5F,477,
479,0x700A4408,0x00009902,vApplicationGetIdleTaskMemory,400,port.c,portable/TI_ARM_CLANG/ARM_CR5F,478,
480,0x700A440A,0xF64260E8,vApplicationGetIdleTaskMemory,400,port.c,portable/TI_ARM_CLANG/ARM_CR5F,479,
481,0x700A440E,0xF2C70008,vApplicationGetIdleTaskMemory,400,port.c,portable/TI_ARM_CLANG/ARM_CR5F,480,
482,0x700A4412,0x00006008,vApplicationGetIdleTaskMemory,400,port.c,portable/TI_ARM_CLANG/ARM_CR5F,481,
483,0x700A4414,0x00009901,vApplicationGetIdleTaskMemory,403,port.c,portable/TI_ARM_CLANG/ARM_CR5F,482,
484,0x700A4416,0xF2410008,vApplicationGetIdleTaskMemory,403,port.c,portable/TI_ARM_CLANG/ARM_CR5F,483,
485,0x700A441A,0xF2C70008,vApplicationGetIdleTaskMemory,403,port.c,portable/TI_ARM_CLANG/ARM_CR5F,484,
486,0x700A441E,0x00006008,vApplicationGetIdleTaskMemory,403,port.c,portable/TI_ARM_CLANG/ARM_CR5F,485,
487,0x7009A886,0x00002001,xQueueSemaphoreTake,0,queue.c,FreeRTOS-Kernel,486,
488,0x7009A888,0x0000900F,xQueueSemaphoreTake,1541,queue.c,FreeRTOS-Kernel,487,
489,0x7009A88A,0x0000E099,xQueueSemaphoreTake,1541,queue.c,FreeRTOS-Kernel,488,
490,0x7009A9C0,0x0000980F,xQueueSemaphoreTake,1677,queue.c,FreeRTOS-Kernel,489,
491,0x7009A9C2,0x0000B010,xQueueSemaphoreTake,1677,queue.c,FreeRTOS-Kernel,490,
492,0x7009A9C4,0x0000BD80,xQueueSemaphoreTake,1677,queue.c,FreeRTOS-Kernel,491,
493,0x700A49F4,0x00003801,tm_semaphore_get,219,tm_porting_layer_freertos.c,..,492,
494,0x700A49F6,0x0000BF18,tm_semaphore_get,219,tm_porting_layer_freertos.c,..,493,
495,0x700A49F8,0x00002001,tm_semaphore_get,219,tm_porting_layer_freertos.c,..,494,
496,0x700A49FA,0x0000BD80,tm_semaphore_get,224,tm_porting_layer_freertos.c,..,495,
497,0x700A3C9C,0x00002000,tm_synchronization_processing_thread_0_entry,107,tm_synchronization_processing_test.c,..,496,
498,0x700A3C9E,0xF000FDAF,tm_synchronization_processing_thread_0_entry,107,tm_synchronization_processing_test.c,..,497,
499,0x700A4800,0x0000B580,tm_semaphore_put,246,tm_porting_layer_freertos.c,..,498,
500,0x700A4802,0xF24311D4,tm_semaphore_put,249,tm_porting_layer_freertos.c,..,499,
501,0x700A4806,0x00002200,tm_semaphore_put,249,tm_porting_layer_freertos.c,..,500,
502,0x700A4808,0xF2C70108,tm_semaphore_put,249,tm_porting_layer_freertos.c,..,501,
503,0x700A480C,0x00002300,tm_semaphore_put,249,tm_porting_layer_freertos.c,..,502,
504,0x700A480E,0xF8510020,tm_semaphore_put,249,tm_porting_layer_freertos.c,..,503,
505,0x700A4812,0x00002100,tm_semaphore_put,249,tm_porting_layer_freertos.c,..,504,
506,0x700A4814,0xF7F6F8DC,tm_semaphore_put,249,tm_porting_layer_freertos.c,..,505,
507,0x7009A9D0,0x0000B580,xQueueGenericSend,775,queue.c,FreeRTOS-Kernel,506,
508,0x7009A9D2,0x0000B090,xQueueGenericSend,775,queue.c,FreeRTOS-Kernel,507,
509,0x7009A9D4,0x0000900E,xQueueGenericSend,775,queue.c,FreeRTOS-Kernel,508,
510,0x7009A9D6,0x0000910D,xQueueGenericSend,775,queue.c,FreeRTOS-Kernel,509,
511,0x7009A9D8,0x0000920C,xQueueGenericSend,775,queue.c,FreeRTOS-Kernel,510,
512,0x7009A9DA,0x0000930B,xQueueGenericSend,775,queue.c,FreeRTOS-Kernel,511,
513,0x7009A9DC,0x00002000,xQueueGenericSend,775,queue.c,FreeRTOS-Kernel,512,
514,0x7009A9DE,0x00009004,xQueueGenericSend,776,queue.c,FreeRTOS-Kernel,513,
515,0x7009A9E0,0x0000900A,xQueueGenericSend,776,queue.c,FreeRTOS-Kernel,514,
516,0x7009A9E2,0x0000980E,xQueueGenericSend,778,queue.c,FreeRTOS-Kernel,515,
517,0x7009A9E4,0x00009006,xQueueGenericSend,778,queue.c,FreeRTOS-Kernel,516,
518,0x7009A9E6,0x00009806,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,517,
519,0x7009A9E8,0xF24761BF,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,518,
520,0x7009A9EC,0xF2C7010A,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,519,
521,0x7009A9F0,0x0000466A,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,520,
522,0x7009A9F2,0x00006011,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,521,
523,0x7009A9F4,0xF2475173,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,522,
524,0x7009A9F8,0xF2C7010A,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,523,
525,0x7009A9FC,0xF647023D,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,524,
526,0x7009AA00,0xF2C7020A,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,525,
527,0x7009AA04,0xF44F7343,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,526,
528,0x7009AA08,0xF007FC3A,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,527,
529,0x700A2280,0x0000B5B0,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,528,
530,0x700A2282,0x0000B08E,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,529,
531,0x700A2284,0xF8DDC048,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,530,
532,0x700A2288,0x0000900D,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,531,
533,0x700A228A,0x0000910C,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,532,
534,0x700A228C,0x0000920B,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,533,
535,0x700A228E,0x0000930A,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,534,
536,0x700A2290,0x0000980D,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,535,
537,0x700A2292,0x0000BB88,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,536,
538,0x700A2294,0x0000E7FF,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,537,
539,0x700A2296,0x00002001,_DebugP_assert,0,DebugP_log.c,../nortos/dpl/common,538,
540,0x7009AA0C,0x00009804,xQueueGenericSend,780,queue.c,FreeRTOS-Kernel,539,
541,0x7009AA0E,0x0000990D,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,540,
542,0x7009AA10,0x00009005,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,541,
543,0x7009AA12,0x0000B939,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,542,
544,0x7009AA14,0x0000E7FF,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,543,
545,0x7009AA16,0x00009806,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,544,
546,0x7009AA18,0x00006C00,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,545,
547,0x7009AA1A,0x00002800,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,546,
548,0x7009AA1C,0x0000BF18,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,547,
549,0x7009AA1E,0x00002001,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,548,
550,0x7009AA20,0x00009005,xQueueGenericSend,781,queue.c,FreeRTOS-Kernel,549,
